Item,Qty,Description,Notes
Raspberry Pi 3 Model B+,1,Main Linux computer / KoalaByte Blue companion brain,Power through micro-USB from the regulated USB portable power pack or from a powered USB hub
Heltec Mesh Node T114,1,Production-default BLE/GNSS/LoRa board,Replaces Nordic nRF52840 USB Dongle; connect to Raspberry Pi by USB-C data cable
ESP32-S3 DualEye module,1,Dual-eye UI / microphone / display front-end,Connect to Raspberry Pi by USB data cable; power from Pi USB or powered hub where stable
1.28 inch round LCD display,2,240x240 round LCD eyes,Included on the ESP32-S3 DualEye module
8 ohm 2 W mini speaker,1,Audio output for local status / companion feedback,Mount behind front grille or internal speaker location
Heltec T114 LoRa antenna,1,Region-matched LoRa antenna for SX1262 path,Use the correct frequency for your board and region such as 915 MHz US or 868 MHz where legal
Heltec T114 2.4 GHz antenna kit,0-1 optional,External 2.4 GHz antenna pigtail/bulkhead if board revision exposes connector,Use only the vendor-documented connector/selector path
ESP32-S3 DualEye external 2.4 GHz antenna kit,1,External 2.4 GHz Wi-Fi Bluetooth antenna with IPEX/U.FL/MHF1 pigtail and SMA or RP-SMA bulkhead path,Use the ESP32-S3 DualEye external antenna connector or vendor-documented selector resistor path
Regulated USB portable power pack / power bank,1,Main simplified external power source,Replaces loose cells holders BMS fuse switch buck converter PD trigger and raw battery wiring
Short USB-A or USB-C to micro-USB power cable for Raspberry Pi 3B+,1,Power cable from power pack to Raspberry Pi,Use a short quality low-resistance cable rated for the Pi current draw
USB-C data cable for Heltec T114,1,USB data/power cable from Raspberry Pi or powered hub to Heltec board,Use actual data-capable cable
Short USB data cable for ESP32-S3 DualEye,1,USB data cable from Raspberry Pi or powered hub to ESP32-S3 DualEye,Use actual data-capable cable
Optional powered USB hub,0-1 optional,Powered hub for Heltec ESP32 and optional CAN adapter,Recommended if Raspberry Pi undervoltage or USB instability appears
GODIYMODULES 8 independent key button module MOD-ST034-1 / ASIN B0FH9C88DJ,1 module used / Amazon listing includes 2,Front-panel K1-K8 controls,Replaces six loose 4-pin tactile buttons; wire VCC to Pi 3.3V only GND to Pi GND and K1-K8 to GPIO; K7 Power On/Off and K8 Reset / Reboot are far-right controls
KoalaByte Blue front button bezel K1-K8 RevA7/RevA25,1,3D printed front button bezel,Aligns the single 8-key module across the enclosure front
microSD card,1,Pi OS / logs / reports / captures,128 GB recommended; 32 GB minimum for basic testing
M2.5 standoffs / screws / nuts,1 set,Mechanical stacked assembly,Use insulating standoffs where clearance is tight
Acrylic or printed frame plates,1 set,Open-frame stacked module structure,No custom PCB required
3D printed case / stacked frame / rear panel,1 set,Optional production enclosure with koala-ear form factor,Print and test-fit before final wiring; leave clearance around power-pack cable USB cable bends Heltec antenna ESP32 antenna CAN service bay and K1-K8 button board
InnoMaker USB to CAN Converter kit,0-1 optional,Optional Koala Kan Kommander USB-to-CAN adapter,Mount internally or in a side/rear service bay; use as SocketCAN interface such as can0 on Linux
InnoMaker CAN cable / adapter-side harness,0-1 optional,Adapter-matched CAN_H / CAN_L / GND / optional SHIELD connection,No circular panel CAN port; route to authorized bench harness with strain relief
Adapter mount / strain relief,0-1 optional,Printed bracket adhesive mount Velcro or standoff support for InnoMaker converter,Keep clear of antennas speaker grille Raspberry Pi GPIO and USB cable bends
Cable management / strain relief,1 set,Zip ties heat-shrink adhesive cable anchors,Keep wires away from antennas vents USB connectors and button wiring
