Line,Category,Subsystem,Qty,Part / Assembly,Recommended Model / Spec,Required,Purpose / Placement,Notes,Est. Unit USD,Est. Ext. USD,Source / Search
1,Core compute,Main SBC,1,Raspberry Pi 3B+,Raspberry Pi 3 Model B+,Yes,Main Linux companion computer,Use known-good Pi 3B+ with 40-pin header.,45,45,raspberrypi.com/products/raspberry-pi-3-model-b-plus/
2,Core compute,Storage,1,microSD card,Samsung EVO Plus / SanDisk Extreme 128GB A1/A2,Yes,"OS, captures, logs, reports",32GB minimum; 128GB recommended for captures.,15,15,
3,Core compute,Cooling,1,Low-profile heatsink kit,Raspberry Pi 3B+ aluminum/copper heatsink set,Recommended,Thermal stability inside case,Add airflow path in printed case.,6,6,
4,Display / UI,Eyes + mic,1,ESP32-S3 Dual Eye LCD module,Waveshare ESP32-S3-DualEye-LCD-1.28 or equivalent,Yes,"Dual round eye displays, companion animations, mic/wake interface",Mount above main screen/face area.,30,30,waveshare.com
5,Display / UI,Main touchscreen,1,Touchscreen display,"3.5 in HDMI/USB touch LCD for Raspberry Pi, 480x320 or better",Yes,"Main menu, reports, controls",USB touch cable plus HDMI/adapter as needed.,35,35,
6,Display / UI,Front controls,6,Tactile push buttons,"Adafruit tactile button switch 6mm x20, Product ID 367",Yes,Six-button front panel navigation,"Left-to-right: Main, Back/Left, Select/Hold, Right, Up, Down.",0.15,0.9,adafruit.com/product/367
7,Display / UI,Button bezel,1,3D printed front button bezel,KoalaByte Blue 6x6mm RevA6 STL,Yes,Aligns six buttons in the printable case,Use PETG/ABS; verify button clearance.,2,2,local print
8,Display / UI,Touch protection,1,Screen lens/protector,3.5 in acrylic/polycarbonate clear lens,Optional,Protects touchscreen,Use only if touch still functions reliably.,5,5,
9,Bluetooth,Production BLE board,1,Nordic nRF52840 Dongle,PCA10059 / NRF52840-DONGLE,Yes,Compact BLE scanning / lab firmware target,Final compact build BLE hardware.,12,12,nordicsemi.com
10,Bluetooth,Development BLE board,1,Nordic nRF52840 DK,PCA10056,Recommended,"Firmware development, debug, Ear Tag lab beacon testing",Optional in final case; useful for flashing/debug.,59,59,nordicsemi.com
11,Bluetooth,BLE antennas,2,2.4GHz antenna,RP-SMA 2.4GHz 3-5dBi whip antenna,Recommended,Top antenna cutouts / improved BLE lab reception,Only for boards/cables that expose antenna connectors.,8,16,
12,Bluetooth,Antenna cable,2,RF pigtail / bulkhead,"U.FL/IPEX to RP-SMA bulkhead cable, 2.4GHz rated",Optional,Routes antennas through top case cutouts,Match connector to selected radio board; do not force U.FL on stock boards without compatible connector.,6,12,
13,Audio,Speaker amp,1,I2S audio amplifier,MAX98357A I2S Class-D amplifier board,Recommended,KillerKoala voice/audio output,Connect to Pi I2S or chosen audio path.,6,6,
14,Audio,Speaker,1,Mini speaker,8Ω 3W 40mm round speaker,Recommended,Voice output / alert sounds,Mount behind speaker grille.,5,5,
15,Audio,Microphone fallback,1,USB microphone,Low-profile USB mic,Optional,Fallback mic if ESP32 mic path is not used,Useful for testing wake word on Pi.,10,10,
16,Power,Portable battery,1,USB-C PD battery pack,"20,000mAh 45-100W USB-C PD power bank",Yes,External portable power source,Use reputable pack with PD output.,45,45,
17,Power,PD trigger,1,USB-C PD trigger board,HUSB238 I2C/fixed PD trigger or ZY12PDN,Yes,Negotiates 9V/12V from PD source for buck converter,Do not feed 5V PD into buck expecting stable 5V output headroom.,10,10,
18,Power,Main buck converter,1,5V buck converter,"Pololu D24V50F5 5V 5A fixed buck, item #2851",Yes,Stable 5V rail for Pi/display/modules,Recommended over generic noisy converters.,25,25,pololu.com/product/2851
