command_id,phrase,notes
wake_status,killerkoala status,General status check
wake_status,killerkoala how are ya,Australian phrasing for status
wake_status,killerkoala you awake,Status check
wake_status,killerkoala give me the rundown,Status check
wake_status,killerkoala what's the go,Australian phrasing for status
wake_help,killerkoala help,Help command
wake_help,killerkoala what can you do,Help command
wake_help,killerkoala list commands,Help command
wake_help,killerkoala show commands,Help command
bluez_status,killerkoala adapter status,Bluetooth controller status
bluez_status,killerkoala check bluetooth,BlueZ status
bluez_status,killerkoala check the radio,Bluetooth status
bluez_status,killerkoala give the radio a squiz,Australian phrasing for radio check
bluez_status,killerkoala suss the bluetooth stack,Australian phrasing for BlueZ status
bluez_inventory,killerkoala gear check,Tool inventory
bluez_inventory,killerkoala gumleaf gear check,Themed inventory
bluez_inventory,killerkoala check the tools,Tool inventory
bluez_inventory,killerkoala what's installed,Tool inventory
bluez_scan,killerkoala scan bluetooth,Bounded BLE scan
bluez_scan,killerkoala start scan,Bounded BLE scan
bluez_scan,killerkoala sweep the air,Australian/canopy phrasing for scan
bluez_scan,killerkoala give the air a squiz,Australian phrasing for scan
bluez_scan,killerkoala sniff the gumtrees,Themed bounded scan
bluez_scan,killerkoala check the canopy,Themed bounded scan
bluez_scan,killerkoala run discovery,Bounded discovery
bluez_all_safe,killerkoala run all safe,Safe bundled status/inventory/scan
bluez_all_safe,killerkoala safe nest run,Themed safe run
bluez_all_safe,killerkoala tidy run,Safe bundled run
bluez_monitor,killerkoala monitor bluetooth,Bounded HCI monitor
bluez_monitor,killerkoala hci watch,Bounded HCI monitor
bluez_monitor,killerkoala watch the controller,Bounded HCI monitor
koala_kapture,killerkoala koala kapture,Passive metadata capture
koala_kapture,killerkoala capture metadata,Passive metadata capture
koala_kapture,killerkoala save the signals,Passive metadata capture
koala_kapture,killerkoala bag the beacons,Themed passive capture
koala_kapture,killerkoala log the eucalyptus,Themed passive capture
koala_kry,killerkoala koala kry,Offline replay
koala_kry,killerkoala replay metadata,Offline replay
koala_kry,killerkoala chew through the logs,Themed offline replay
koala_kry,killerkoala replay the pouch,Themed offline replay
koalabyte_lab,killerkoala koalabyte lab,Owned lab beacon plan
koalabyte_lab,killerkoala lab beacon,Owned lab beacon plan
koalabyte_lab,killerkoala ear tag,Owned lab beacon plan
koalabyte_lab,killerkoala make a lab plan,Owned lab plan
report,killerkoala write report,Report helper
report,killerkoala make a report,Report helper
report,killerkoala summarize session,Report helper
report,killerkoala wrap it up,Australian phrasing for report
shutdown,killerkoala shutdown,Shutdown prompt
shutdown,killerkoala power down,Shutdown prompt
shutdown,killerkoala go dark,Themed shutdown prompt
shutdown,killerkoala call it a day,Australian phrasing for shutdown
